PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1202.0,2009.0,2947.0,2753.0,1227.0,1061.0,992.0,1575.0,280.0,77.0,1380.0,304.0,68.0,19.0
Pi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,51.0,37.0,59.0,68.0,48.0,32.0,40.0,69.0,45.0,0.0,22.0,4.0,0.0,0.0
QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
RI,0.0,4.0,1.0,0.0,0.0,1.0,5.0,3.0,2.0,2.0,6.0,7.0,9.0,11.0,22.0,941.0,7719.0,7693.0,10388.0,9286.0,5109.0,4239.0,1513.0,7235.0,1799.0,347.0,4896.0,1348.0,327.0,64.0
RM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SC,0.0,10.0,1.0,3.0,4.0,7.0,9.0,9.0,6.0,5.0,14.0,40.0,79.0,59.0,81.0,4206.0,34918.0,33894.0,47504.0,45586.0,24502.0,22065.0,8538.0,28190.0,8147.0,1372.0,21156.0,4987.0,1482.0,395.0
SD,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,10.0,8.0,16.0,20.0,1032.0,6792.0,6449.0,9914.0,9244.0,5229.0,4728.0,1961.0,7246.0,1990.0,296.0,4584.0,1033.0,331.0,69.0
SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
Sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,27.0,30.0,36.0,19.0,22.0,6.0,36.0,11.0,0.0,11.0,3.0,0.0,0.0
So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,25.0,69.0,45.0,32.0,39.0,33.0,55.0,17.0,0.0,20.0,0.0,1.0,0.0
St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,36.0,63.0,56.0,20.0,26.0,19.0,27.0,23.0,1.0,38.0,8.0,2.0,0.0
TH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TN,0.0,7.0,4.0,1.0,10.0,8.0,22.0,9.0,8.0,14.0,21.0,56.0,81.0,65.0,126.0,4993.0,47194.0,44281.0,65339.0,61967.0,34314.0,30248.0,11887.0,42018.0,11612.0,1960.0,30431.0,7985.0,2171.0,477.0
TX,0.0,2.0,2.0,2.0,11.0,16.0,32.0,42.0,26.0,57.0,64.0,297.0,268.0,429.0,712.0,19629.0,171124.0,151136.0,234258.0,226156.0,126412.0,113342.0,42046.0,138505.0,42507.0,6807.0,116287.0,27013.0,6807.0,1640.0
Te,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT,0.0,8.0,1.0,4.0,7.0,1.0,7.0,19.0,8.0,10.0,20.0,29.0,72.0,123.0,301.0,3704.0,27140.0,25664.0,36421.0,33882.0,20308.0,16442.0,5867.0,21172.0,5960.0,986.0,17093.0,4602.0,828.0,163.0
Un,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,175.0,192.0,289.0,234.0,151.0,127.0,97.0,217.0,61.0,2.0,94.0,5.0,0.0,1.0
VA,0.0,20.0,5.0,14.0,21.0,31.0,62.0,68.0,69.0,105.0,155.0,427.0,579.0,1163.0,1944.0,11663.0,78425.0,69987.0,96480.0,92273.0,54805.0,47283.0,15972.0,58380.0,16400.0,2593.0,46082.0,8762.0,2864.0,595.0
